Month;AMO;NAO;AMM;TSA;TNA;PDO;MEI;EMI;AAO;AO;PNA;SOLAR;QBO;vazao
1979-1;-0.18;-2.12;1.15;-0.16;0.17;-0.58;0.6;0.01;0.21;-2.23;-1.54;2030;1.86;3191
1979-2;-0.14;-1.2;2.5;-0.24;0.28;-1.33;0.36;0.13;0.36;-0.7;-2.73;2041;4.12;4071
1979-3;-0.22;0.41;2.37;-0.31;0.15;0.3;-0.02;0.17;0.9;-0.81;0.08;1858;0.89;1924
1979-4;-0.23;-2.01;2.16;0.01;0.29;0.89;0.28;0.02;0.68;-1.16;-0.15;1738;-3.57;1226
1979-5;-0.11;-0.9;2.42;0.07;0.35;1.09;0.37;-0.26;0.72;-0.25;1.27;1652;-12.9;745
1979-6;-0.03;1.92;1.96;0.1;0.42;0.17;0.4;-0.26;1.7;0.93;-1.64;1803;-19.6;586
1979-7;-0.08;0.86;1.16;0.14;0.28;0.84;0.37;-0.13;2.41;0.04;0.51;1659;-21.27;447
1979-8;-0.1;1.11;-0.42;0.27;0.08;0.52;0.64;-0.21;0.55;-0.68;0.67;1727;-22.24;356
1979-9;-0.1;1.13;-0.89;0.29;0.1;1;0.78;-0.43;0.63;-0.05;1.02;2002;-22.7;361
1979-10;-0.08;0.18;-0.26;0.05;0.1;1.06;0.67;-0.11;0.16;-1.24;1.85;2179;-23.32;332
1979-11;-0.07;0.42;0.08;0.06;0.11;0.48;0.74;-0.02;-0.42;0.48;0.51;2317;-22.2;524
1979-12;-0.05;0.84;0.89;-0.02;0.26;-0.42;1;0.35;-0.95;1.3;-0.68;2035;-16.99;602
1980-1;0.01;-1.38;2.99;-0.15;0.4;-0.11;0.68;0.49;-0.45;-2.07;-1.01;2062;-10.11;2698
1980-2;-0.07;-0.39;3.35;-0.34;0.41;1.32;0.59;0.62;-0.98;-0.93;2.03;2000;-5.65;6163
1980-3;-0.13;-0.73;3.01;-0.26;0.17;1.09;0.69;0.4;-1.42;-1.43;-0.64;1681;-2.9;2568
1980-4;0.01;1.26;4.19;-0.11;0.56;1.49;0.91;0.32;-2.07;-0.42;1.66;2079;2.31;1634
1980-5;0.14;-1.34;5.1;-0.04;0.71;1.2;0.95;0.24;-0.48;-1.16;-0.16;2240;6.24;877
1980-6;0.12;-0.07;3.64;-0.08;0.47;-0.22;0.89;0.23;0.29;0.72;-0.81;1932;7.33;623
1980-7;0.06;-0.39;1.53;-0.06;0.19;0.23;0.76;0.32;-1.94;-0.62;-0.81;1848;8.74;489
1980-8;0.04;-3.01;1.73;0.03;0.29;0.51;0.33;-0.06;-1;-0.19;-2.03;1662;9.61;382
1980-9;0.01;0.79;0.89;0.11;0.21;0.1;0.28;0.01;-1.7;0.31;-0.08;1839;12.67;375
1980-10;-0.05;-1.41;0.22;-0.03;0.05;1.35;0.21;0.28;0.58;-0.52;2.87;2042;13.1;358
1980-11;-0.18;-0.52;0.68;-0.25;0.03;0.37;0.25;0.34;-2.01;-1.36;1.28;2181;12.15;656
1980-12;-0.24;0.63;0.75;-0.59;-0.02;-0.1;0.1;0.28;-0.36;-0.06;-0.57;2258;9.73;1541
1981-1;-0.16;-0.08;1.72;-0.27;0.27;0.59;-0.25;0.36;0.23;-0.12;2.46;1746;8.51;1946
1981-2;-0.16;0.6;2.78;-0.47;0.16;1.46;-0.16;0.07;0.04;-0.33;0.21;2045;6.72;1069
1981-3;0.02;-1.65;5.09;-0.64;0.6;0.99;0.45;0.15;-0.97;-1.65;1.27;2053;7.51;1475
1981-4;-0.08;0.25;4.03;-0.52;0.34;1.45;0.65;-0.14;-1.46;0.43;-1.23;2232;8.28;1555
1981-5;-0.07;0.24;3.68;-0.4;0.36;1.75;0.14;-0.28;-0.34;0.18;1.83;1946;3.01;803
1981-6;-0.04;-0.15;2.19;-0.22;0.18;1.69;-0.03;-0.45;0.35;-0.44;-0.1;1569;-3.49;611
1981-7;-0.08;0.08;1.41;-0.23;0.15;0.84;-0.05;-0.51;-0.99;0.56;-1.02;1919;-5.22;463
1981-8;-0.1;0.38;0.32;0.12;0.09;0.18;-0.09;-0.24;-2.12;-0.24;-1.54;2206;-8.24;365
1981-9;-0.02;-1.27;0.02;0.2;0.14;0.42;0.18;-0.11;-1.51;-1.04;0.08;2195;-8.59;293
1981-10;-0.17;-0.96;-0.9;0.35;0.04;0.18;0.11;-0.09;-0.26;-1.17;-1.43;2243;-9.53;519
1981-11;-0.12;-0.53;-0.17;0.26;0.13;0.8;-0.04;-0.05;0.63;-0.19;1.19;2078;-9.62;1168
1981-12;0.01;-0.11;1.91;0.1;0.27;0.67;-0.14;0.05;1.12;-1.22;-0.42;2078;-12.31;892
1982-1;-0.06;-1.55;0.37;0.03;0.19;0.34;-0.27;-0.14;-0.55;-0.88;-1.75;1790;-12.52;3330
1982-2;-0.06;0.86;-0.22;-0.2;-0.07;0.2;-0.14;-0.08;0.28;0.97;-1.2;2142;-14.71;1900
1982-3;-0.06;0.8;-0.45;-0.21;-0.07;0.19;0.1;0.3;1.6;1.07;-1.66;2105;-16.67;1878
1982-4;-0.16;-0.04;-0.68;-0.35;-0.16;-0.19;-0.01;0.48;1.53;1.45;-2.08;1618;-15.55;1288
1982-5;-0.17;-0.44;0.31;-0.37;-0.03;-0.58;0.43;0.43;0.12;-0.21;-0.53;1447;-15.26;851
1982-6;-0.17;-1.34;-0.3;-0.45;-0.15;-0.78;0.97;0.59;0.92;-1.18;2.17;1719;-15.94;648
1982-7;-0.21;1.18;-0.92;-0.44;-0.27;0.58;1.61;0.33;-0.42;0.01;0.49;1596;-8.95;523
1982-8;-0.29;0.21;-0.75;-0.57;-0.3;0.39;1.82;0.16;0.78;0.36;0.31;1679;-1.58;428
1982-9;-0.29;1.86;-2.21;-0.31;-0.28;0.84;1.81;-0.06;1.58;0.56;0.83;1653;4.21;396
1982-10;-0.35;-0.29;-3.12;-0.11;-0.34;0.37;2.02;0.17;-0.7;-0.21;-0.86;1619;8.27;472
1982-11;-0.4;1.55;-4.18;-0.28;-0.46;-0.25;2.43;-0.3;-0.85;0.66;-0.47;1674;9.51;497
1982-12;-0.36;1.56;-5.89;-0.17;-0.5;0.26;2.42;-0.63;-1.93;0.97;0.45;1994;10.35;569
1983-1;-0.28;1.34;-5.87;0.33;-0.36;0.56;2.69;-0.47;-1.34;1.36;0.87;1423;10.85;1726
1983-2;-0.09;-1.04;-3.18;0.37;-0.02;1.14;2.91;-0.38;-1.08;-1.81;1.44;1226;11.4;4278
1983-3;0.1;0.59;1.56;-0.14;0.44;2.11;3.02;-0.56;0.17;-0.57;2.03;1186;12.17;1908
1983-4;0.08;-1.07;2.41;-0.25;0.45;1.87;2.84;-0.98;0.15;-0.74;0.98;1189;13.81;1488
1983-5;-0.03;-0.01;1.11;-0.45;0.17;1.8;2.54;-1.07;-0.44;-0.44;-0.08;1371;11.93;870
1983-6;-0.04;1.31;1.25;-0.45;0.35;2.36;2.2;-1.43;-0.26;0.31;2.1;1386;3.12;629
1983-7;0;1.22;0.67;-0.31;0.23;3.51;1.77;-1.52;1.11;0.13;0.82;1250;-3.38;471
1983-8;-0.14;1.95;-0.98;-0.08;0.01;1.85;1.16;-1.29;0.79;1.1;0.5;1244;-6.53;372
1983-9;-0.2;-0.95;-1.12;0.04;-0.18;0.91;0.48;-1.18;-0.7;0.17;-1.37;1090;-7.75;337
